"ZIP","Date","PROPERTY.TYPE","ADDRESS","CITY","STATE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","LATITUDE","LONGITUDE","Age","ORIGINAL_PRC","numCrimes","LONG_LAT","SQ_LOT","knn14Pred","Error","Pct_Error","AbsPct_Err","UpperCI","LowerCI"
90001,"2020-03-06","Single Family Residential","1009 E 73rd St","Los Angeles","CA",385000,2,1,884,5400,33.9740795,-118.2573543,69,385000,0,-4017.68475644787,4773600,365750,-19250,-0.05,0.05,457527.542480281,317499.594763092
90001,"2020-02-13","Single Family Residential","8421 Grape St","Los Angeles","CA",350000,2,1,946,5027,33.9614294,-118.2365013,99,350000,0,-4015.48059140296,4755542,348021.428571429,-1978.57142857142,-0.00565306122448972,0.00565306122448972,435350.345713636,302109.808722628
90001,"2020-03-02","Single Family Residential","1142 E 66th St","Los Angeles","CA",390000,2,1,882,4575,33.9799715,-118.2550402,97,390000,0,-4018.30289572735,4035150,350307.142857143,-39692.8571428572,-0.101776556776557,0.101776556776557,438209.613628755,304093.987422446
90001,"2020-03-20","Single Family Residential","7725 Maie Ave","Los Angeles","CA",425000,2,1,928,5634,33.969297,-118.2446905,98,425000,0,-4016.68901026758,5228352,348371.428571429,-76628.5714285714,-0.180302521008403,0.180302521008403,435788.171113138,302413.636086037
90001,"2020-02-28","Single Family Residential","8235 Croesus Ave","Los Angeles","CA",445000,3,2,1159,2903,33.9633726,-118.2340456,37,445000,0,-4015.62694471819,3364577,400200,-44800,-0.100674157303371,0.100674157303371,500622.071088471,347404.888104414
90001,"2020-04-02","Single Family Residential","1424 E 65th St","Los Angeles","CA",295000,2,1,660,4203,33.9806573,-118.2489391,99,295000,0,-4018.17667564567,2773980,338985.714285714,43985.7142857143,0.14910411622276,0.14910411622276,424047.302236679,294266.102299909
90001,"2020-05-13","Single Family Residential","1217 E 76th Pl","Los Angeles","CA",355000,2,1,674,4754,33.9708733,-118.2536445,94,355000,0,-4017.17957457274,3204196,344664.285714286,-10335.7142857143,-0.0291146881287726,0.0291146881287726,431150.795963304,299195.54625727
90001,"2020-03-05","Single Family Residential","918 E 84th Pl","Los Angeles","CA",520000,3,1.75,1241,5100,33.9617788,-118.2578696,93,520000,0,-4016.24760871444,6329100,398707.142857143,-121292.857142857,-0.233255494505495,0.233255494505495,498754.611731409,346108.971391096
90001,"2020-02-26","Single Family Residential","1703 E 67th St","Los Angeles","CA",365000,2,1,576,5947,33.9790175,-118.2431372,107,365000,0,-4017.7856281737,3425472,336500,-28500,-0.0780821917808219,0.0780821917808219,420937.848378987,292108.307963857
90001,"2020-03-13","Single Family Residential","1222 E 65th St","Los Angeles","CA",309000,2,1,768,4824,33.980658,-118.253279,92,309000,0,-4018.32423107758,3704832,361578.571428571,52578.5714285714,0.170157189089228,0.170157189089228,452309.378535188,313878.468635924
90001,"2020-03-19","Single Family Residential","1662 E 76th St","Los Angeles","CA",475000,3,1,1440,5119,33.9710013,-118.2439595,110,475000,0,-4016.86570189165,7371360,399714.285714286,-75285.7142857143,-0.158496240601504,0.158496240601504,500014.476656508,346983.250130703
90001,"2020-03-19","Single Family Residential","7669 Mckinley Ave","Los Angeles","CA",361000,2,1,960,2466,33.9696959,-118.2609729,95,361000,0,-4017.28928625114,2367360,364542.857142857,3542.85714285716,0.00981400870597549,0.00981400870597549,456017.491612608,316451.700387251
90001,"2020-02-03","Single Family Residential","1702 E 66th St","Los Angeles","CA",270000,3,2,1181,5779,33.9794181,-118.2431372,87,270000,0,-4017.83299637446,6824999,401250,131250,0.486111111111111,0.486111111111111,501935.547286979,348316.370194643
90001,"2020-03-19","Single Family Residential","1009 E 76th Pl","Los Angeles","CA",315000,0,0.5,1323,5743,33.9705126,-118.2573447,97,315000,0,-4017.26261817389,7597989,344500,29500,0.0936507936507935,0.0936507936507935,430945.286081905,299052.93341322
90001,"2020-03-19","Single Family Residential","1305 E 75th St","Los Angeles","CA",410000,3,2,1008,4767,33.9727203,-118.2517372,74,410000,0,-4017.3331928847,4805136,399435.714285714,-10564.2857142857,-0.0257665505226481,0.0257665505226481,499666.003379353,346741.428351663
90001,"2020-04-23","Single Family Residential","7316 Wadsworth Ave","Los Angeles","CA",399900,2,2,672,2169,33.9733363,-118.2584128,94,399900,0,-4017.63282835862,1457568,373950,-25950,-0.0648912228057015,0.0648912228057015,467785.166125771,324617.83584869
