X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,email,date_updated,dis_status,POINT_X,POINT_Y
-118.495895915888,34.0108170069854,1683,LA County Department of Beaches and Harbors,,Private Industry,Shopping Centers,,City of Santa Monica,Santa Monica Beach and Pier,City Hall,1685 Main Street,Santa Monica,CA,Beach and Pier are open 7 days a week.,"<p> City of Santa Monica: 310-458-8411</p>
<p> Visitors Center: 424-526-7900 </p>
<p> Beaches and Harbors: 424-526-7777 </p>",http://www.smgov.net/,"<a href=""http://beaches.lacounty.gov""> Los Angeles County Department of Beaches and Harbors </a>",,1407,"The Santa Monica Beach and Pier are managed by the City of Santa Monica. 
For more information:
<p><a href=""https://www.smgov.net/Departments/CCS/content.aspx?id=53687097577""> Beach Information </a></p>
<p><a href=""https://santamonicapier.org/""> Santa Monica Pier </a> </p>
<p><a href=""https://annenbergbeachhouse.com/""> Annenberg Beach House </a></p>
<p><a href=""http://beaches.lacounty.gov/la-county-beach-bike-path/""> Beach Bike Path </a></p>",90401,http://egis3.lacounty.gov/lms/?p=1407,publish,34.01081704,-118.49589586,info@bh.lacounty.gov,2017/07/18 16:48:56+00,,6411383.68400213,1826687.60969664
-118.172915037445,34.6940264956179,3892,HSIP Freedom Alternative_Fueling_Stations,,Private Industry,Shopping Centers,,National Transportation Atlas Database (NTAD) 2009,Valley Central Shopping Center,44707 Valley Central Way,,Lancaster,CA,24 hours daily,,,Operational,,4703,,93536,http://egis3.lacounty.gov/lms/?p=4703,publish,34.69402653,-118.17291498,,2011/04/24 23:01:15+00,,6509694.07596363,2074996.10454848
-118.44019180587,33.979488416678,13054,LA County Department of Beaches and Harbors,,Private Industry,Shopping Centers,,Los Angeles County Department of Beaches and Harbors,Marina Del Rey Visitors Information Center,4701 Admiralty Way,,Marina Del Rey,CA,<p>The Visitors Center is open 7 days a week to provide free information for visitors to Marina del Rey and the Los Angeles County beaches. </p>,"<p>Visitors Center: 424-526-7900 </p>
<p>Beaches and Harbors: 424-526-7777 </p>",http://beaches.lacounty.gov,"<a href=""http://www.parks.ca.gov""> California State Parks </a>",,13521,"Burton Chace Park, 13650 Mindanao Way, Marina del Rey, CA 90292<br>
(Community Room available for public rental, barbecue grills, stroller and wheelchair accessible trails, guest boat docks)</br>
Dockweiler Youth Center (room available for conference rental) <br>
12505 Vista del Mar, Los Angeles CA 90245, call 310-726-4131 for information </br>
Anchorage 47 (in-the-water boat slips next to Burton Chace Park) <br>
Call 424-526-7890 for information, or e-mail DMarinaManager@bh.lacounty.gov </br>
Administration Building: 13837 Fiji Way, Marina del Rey CA 90292<br>
(Executive, Asset Management, Administrative Services)</br>
Fiscal: 13575 Mindanao Way, Marina del Rey CA 90292 <br>
(Payments for Lessees, Boat Slips, Dry Storage, Bike Lockers)</br>
Trailers: 13483 Fiji Way, Marina del Rey CA 90292<br>
(Beach Licenses and Permits, Planning, Human Resources, Facilities and Property Maintenance) </br>
<p>
<a href=""http://beaches.lacounty.gov/la-county-beach-bike-path/""> Beach Bike Path </a></p>",90292,http://egis3.lacounty.gov/lms/?p=13521,publish,33.97948845,-118.44019175,info@bh.lacounty.gov,2017/07/20 07:59:42+00,,6428215.37901323,1815207.99190789
-118.543049155952,34.3790484460043,21530,HSIP Freedom Gnis_cultural_fe,1744941,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Lyons Station Shopping Center,,,,,,,,,,23784,,,http://egis3.lacounty.gov/lms/?p=23784,publish,34.37904848,-118.5430491,,2011/03/25 13:42:25+00,,6397817.4814758,1960765.81201215
-118.543141555874,34.3808310663745,21531,HSIP Freedom Gnis_cultural_fe,1744951,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Old Orchard Shopping Center,,,,,,,,,,23785,,,http://egis3.lacounty.gov/lms/?p=23785,publish,34.3808311,-118.5431415,,2010/11/01 19:50:56+00,,6397793.10750881,1961414.68374589
-118.561197555886,34.4205517659473,21532,HSIP Freedom Gnis_cultural_fe,1744955,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,River Oaks Shopping Center,,,,,,,,,,23786,,,http://egis3.lacounty.gov/lms/?p=23786,publish,34.4205518,-118.5611975,,2010/11/01 19:50:56+00,,6392425.99193072,1975899.5445399
-118.455360956459,34.4158295664481,21534,HSIP Freedom Gnis_cultural_fe,1744962,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Sierra Plaza Shopping Center,,,,,,,,,,23789,,,http://egis3.lacounty.gov/lms/?p=23789,publish,34.4158296,-118.4553609,,2010/11/01 19:50:56+00,,6424335.86085364,1974019.66083248
-118.467028056317,34.4152740661261,21535,HSIP Freedom Gnis_cultural_fe,1744966,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,The Knoll Shopping Center,,,,,,,,,,23790,,,http://egis3.lacounty.gov/lms/?p=23790,publish,34.4152741,-118.467028,,2010/11/01 19:50:56+00,,6420816.21041264,1973833.64972156
-118.557030756421,34.4152741659603,21536,HSIP Freedom Gnis_cultural_fe,1744968,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Valencia Mall Shopping Center,,,,,,,,,,23791,,,http://egis3.lacounty.gov/lms/?p=23791,publish,34.4152742,-118.5570307,,2010/11/01 19:50:56+00,,6393671.94711597,1973971.9578439
-118.543141355773,34.4216627660858,21537,HSIP Freedom Gnis_cultural_fe,1744969,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Valencia Mart Shopping Center,,,,,,,,,,23792,,,http://egis3.lacounty.gov/lms/?p=23792,publish,34.4216628,-118.5431413,,2010/11/01 19:50:56+00,,6397873.4597103,1976273.94175698
-118.530363156089,34.4341622659085,21539,HSIP Freedom Gnis_cultural_fe,1744918,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Bouquet Canyon Square Shopping Center,,,,,,,,,,23794,,,http://egis3.lacounty.gov/lms/?p=23794,publish,34.4341623,-118.5303631,,2010/11/01 19:50:56+00,,6401750.98706022,1980802.1272544
-118.473694956752,34.4172183657563,21540,HSIP Freedom Gnis_cultural_fe,1744922,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Canyon Center Shopping Center,,,,,,,,,,23795,,,http://egis3.lacounty.gov/lms/?p=23795,publish,34.4172184,-118.4736949,,2010/11/01 19:50:56+00,,6418808.84434864,1974550.62105665
-118.622310055535,34.4972151659897,21541,HSIP Freedom Gnis_cultural_fe,1744929,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Castaic Shopping Center,,,,,,,,,,23796,,,http://egis3.lacounty.gov/lms/?p=23796,publish,34.4972152,-118.62231,,2010/11/01 19:50:56+00,,6374168.80961314,2003906.96818373
-118.550919456354,34.4038857656832,21543,HSIP Freedom Gnis_cultural_fe,1744935,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Granary Square Shopping Center,,,,,,,,,,23798,,,http://egis3.lacounty.gov/lms/?p=23798,publish,34.4038858,-118.5509194,,2010/11/01 19:50:56+00,,6395492.35882947,1969817.39266223
-118.534807856451,34.4277736664796,21571,HSIP Freedom Gnis_cultural_fe,1744919,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Bouquet Center Shopping Center,,,,,,,,,,23826,,,http://egis3.lacounty.gov/lms/?p=23826,publish,34.4277737,-118.5348078,,2010/11/01 19:50:56+00,,6400398.42808555,1978484.31725748
-118.349795656088,33.8280714671007,21580,HSIP Freedom Gnis_cultural_fe,241390,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Del Amo Fashion Center,,,,,,,,,,23835,,,http://egis3.lacounty.gov/lms/?p=23835,publish,33.8280715,-118.3497956,,2010/11/01 19:50:56+00,,6455429.31178997,1759996.46683247
-118.33118365574,33.7919611671504,21593,HSIP Freedom Gnis_cultural_fe,248341,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Rolling Hills Plaza Shopping Center,,,,,,,,,,23848,,,http://egis3.lacounty.gov/lms/?p=23848,publish,33.7919612,-118.3311836,,2010/11/01 19:50:56+00,,6461038.88816921,1746835.87963665
-118.355074256358,33.8711260668823,21606,HSIP Freedom Gnis_cultural_fe,249678,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,South Bay Shopping Center,,,,,,,,,,23863,,,http://egis3.lacounty.gov/lms/?p=23863,publish,33.8711261,-118.3550742,,2010/11/01 19:50:56+00,,6453881.43365213,1775670.64677015
-118.388962655814,33.7997379674194,21707,HSIP Freedom Gnis_cultural_fe,1744645,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Malaga Cove Plaza Shopping Center,,,,,,,,,,23963,,,http://egis3.lacounty.gov/lms/?p=23963,publish,33.799738,-118.3889626,,2010/11/01 19:50:56+00,,6443493.54333872,1749728.94012348
-118.393132556457,33.9861234667484,21708,HSIP Freedom Gnis_cultural_fe,1744793,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Fox Hills Mall Shopping Center,,,,,,,,,,23964,,,http://egis3.lacounty.gov/lms/?p=23964,publish,33.9861235,-118.3931325,,2010/11/01 19:50:56+00,,6442491.91410838,1817563.46751189
-118.392854656007,33.9830679664636,21709,HSIP Freedom Gnis_cultural_fe,1744794,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Fox Hills Plaza Shopping Center,,,,,,,,,,23965,,,http://egis3.lacounty.gov/lms/?p=23965,publish,33.983068,-118.3928546,,2010/11/01 19:50:56+00,,6442571.81355488,1816451.18627189
-118.437856855746,34.0397321671111,21710,HSIP Freedom Gnis_cultural_fe,1744795,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Lamancha Shopping Center,,,,,,,,,,23966,,,http://egis3.lacounty.gov/lms/?p=23966,publish,34.0397322,-118.4378568,,2010/11/01 19:50:56+00,,6429018.77241956,1837128.61637364
-118.372576356071,33.9786238668075,21711,HSIP Freedom Gnis_cultural_fe,1744796,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Ladera Shopping Center,,,,,,,,,,23967,,,http://egis3.lacounty.gov/lms/?p=23967,publish,33.9786239,-118.3725763,,2010/11/01 19:50:56+00,,6448713.39641605,1814810.48975015
-118.356187756444,34.0208451670024,21712,HSIP Freedom Gnis_cultural_fe,1744806,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Baldwin Hills Shopping Center,,,,,,,,,,23968,,,http://egis3.lacounty.gov/lms/?p=23968,publish,34.0208452,-118.3561877,,2010/11/01 19:50:56+00,,6453736.48446697,1830157.57946272
