"","zipcode","Date","PROPERTY.TYPE","ADDRESS","CITY","ZIP","ZIP.OR.POSTAL.CODE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","LATITUDE","LONGITUDE","Age","Num_Landfill","hospital_bed","School_Rank"
"1",90001,"4/6/2018","Single Family Residential","1567 E Gage Ave","Los Angeles","CA",90001,450800,3,2.5,1412,1844,2007,769,33.982289,-118.2458621,13,1,0,9
"2",90001,"6/20/2017","Single Family Residential","8210 Lou Dillon Ave","Los Angeles","CA",90001,363500,2,1,844,4625,1910,1059,33.9640088,-118.2345481,110,1,0,9
"3",90001,"9/26/2018","Single Family Residential","1667 E 84th St","Los Angeles","CA",90001,311300,2,1,962,5009,1921,596,33.9624507,-118.2438682,99,1,0,9
"4",90001,"3/12/2018","Multi-Family (2-4 Unit)","6618 Holmes Ave","Los Angeles","CA",90001,442600,3,2,1665,3401,1956,794,33.979059,-118.2409295,64,1,0,9
"5",90001,"3/7/2019","Single Family Residential","7672 Parmelee Ave","Los Angeles","CA",90001,324500,2,1,944,4053,1924,434,33.9700089,-118.2497157,96,1,0,9
"6",90001,"11/8/2018","Single Family Residential","1155 E 75th St","Los Angeles","CA",90001,362000,2,1,762,4671,1925,553,33.9724771,-118.2546038,95,1,0,9
"7",90001,"1/16/2019","Multi-Family (2-4 Unit)","1141 E 78th St","Los Angeles","CA",90001,445400,2,4,1500,4747,1942,484,33.9682081,-118.2549869,78,1,0,9
"8",90001,"9/27/2018","Single Family Residential","7510 Parmelee Ave","Los Angeles","CA",90001,400500,2,1,804,2522,1935,595,33.9722196,-118.249735,85,1,0,9
"9",90001,"8/16/2018","Single Family Residential","803 E 78th St","Los Angeles","CA",90001,435100,3,1,942,3330,1928,637,33.9686388,-118.2605999,92,1,0,9
"10",90001,"7/28/2017","Multi-Family (2-4 Unit)","827 E 73rd St","Los Angeles","CA",90001,365400,3,2,1092,4799,1948,1021,33.974129,-118.259823,72,1,0,9
"11",90001,"8/9/2018","Single Family Residential","625 E 82nd St","Los Angeles","CA",90001,380200,3,1,1352,5744,1925,644,33.9649028,-118.2641054,95,1,0,9
"12",90001,"9/12/2018","Single Family Residential","640 E 76th Pl","Los Angeles","CA",90001,378700,2,1,1048,5101,1927,610,33.9700567,-118.2635708,93,1,0,9
"13",90001,"4/11/2018","Multi-Family (2-4 Unit)","8118 Crockett","Los Angeles","CA",90001,534600,3,2,1178,6001,1910,764,33.9646517,-118.2365982,110,1,0,9
"14",90001,"7/14/2017","Single Family Residential","1670 E 83rd St","Los Angeles","CA",90001,402600,3,2,1200,3172,1979,1035,33.9627766,-118.2436854,41,1,0,9
"15",90001,"12/31/2018","Multi-Family (2-4 Unit)","1009 E 82nd St","Los Angeles","CA",90001,866800,10,6,3900,5737,2018,500,33.9648757,-118.257299,2,1,0,9
"16",90001,"5/15/2017","Single Family Residential","1230 E 66th St","Los Angeles","CA",90001,390200,3,1,997,4465,1941,1095,33.9798528,-118.2530194,79,1,0,9
"17",90001,"8/1/2017","Single Family Residential","1403 E 76th St","Los Angeles","CA",90001,358800,2,1,728,3885,1921,1017,33.9719419,-118.2497957,99,1,0,9
"18",90001,"6/12/2018","Multi-Family (2-4 Unit)","1131 E 76th St","Los Angeles","CA",90001,422000,2,2,1940,4721,1936,702,33.9717428,-118.255376,84,1,0,9
"19",90001,"7/6/2018","Single Family Residential","811 E 82nd St","Los Angeles","CA",90001,401100,3,1,1304,5100,1928,678,33.9648859,-118.260314,92,1,0,9
"20",90001,"1/25/2018","Multi-Family (2-4 Unit)","907 E 81st St","Los Angeles","CA",90001,520100,4,2,1800,5102,1926,840,33.9657985,-118.2582583,94,1,0,9
"21",90001,"12/12/2017","Single Family Residential","1537 E 78th St","Los Angeles","CA",90001,372400,2,1,1086,5654,1923,884,33.9685474,-118.2464091,97,1,0,9
"22",90001,"11/27/2017","Single Family Residential","759 E 75th St","Los Angeles","CA",90001,372400,2,1,936,3006,1925,899,33.9723005,-118.2609808,95,1,0,9
"23",90001,"12/21/2017","Townhouse","1018 E 81st St","Los Angeles","CA",90001,514100,4,2,1699,5739,1931,875,33.9653846,-118.2570249,89,1,0,9
"24",90001,"5/31/2017","Single Family Residential","1149 E 85th St","Los Angeles","CA",90001,377800,2,1,766,5200,1926,1079,33.9612603,-118.2546038,94,1,0,9
"25",90001,"12/29/2017","Multi-Family (2-4 Unit)","858 E 75th St","Los Angeles","CA",90001,471200,2,2,1760,5106,1925,867,33.971836,-118.25876,95,1,0,9
"26",90001,"9/20/2017","Multi-Family (2-4 Unit)","1401 -1407 E 75th St","Los Angeles","CA",90001,443400,3,2,972,3842,1923,967,33.9727042,-118.2496701,97,1,0,9
"27",90001,"10/6/2017","Single Family Residential","923 E 84th St","Los Angeles","CA",90001,432400,3,1.5,1368,5099,1932,951,33.9630794,-118.2577558,88,1,0,9
"28",90001,"6/15/2018","Multi-Family (2-4 Unit)","1616 Firestone Blvd","Los Angeles","CA",90001,614700,3,4,2486,4866,1910,699,33.959952,-118.2453758,110,1,0,9
"29",90001,"10/15/2018","Single Family Residential","850 E 80th St","Los Angeles","CA",90001,387800,3,1,1266,5100,1928,577,33.9663313,-118.2590476,92,1,0,9
"30",90001,"10/27/2017","Single Family Residential","648 E 80th St","Los Angeles","CA",90001,395400,3,1,1234,5104,1929,930,33.9663208,-118.2632375,91,1,0,9
"31",90001,"6/9/2017","Single Family Residential","1141 E 80th St","Los Angeles","CA",90001,392900,3,1,937,5801,1927,1070,33.9667476,-118.2550839,93,1,0,9
"32",90001,"4/23/2018","Single Family Residential","1668 E 82nd Pl","Los Angeles","CA",90001,364600,3,1.5,836,4266,1922,752,33.9636239,-118.2438225,98,1,0,9
"33",90001,"3/9/2018","Single Family Residential","8502 Hooper Ave","Los Angeles","CA",90001,353100,2,1,752,4592,1941,797,33.9609156,-118.2537358,79,1,0,9
"34",90001,"7/28/2017","Single Family Residential","1419 E 76th St","Los Angeles","CA",90001,354400,3,1,1000,4691,1971,1021,33.9719827,-118.2493503,49,1,0,9
"35",90001,"2/8/2018","Multi-Family (2-4 Unit)","7821 Whitsett Ave","Los Angeles","CA",90001,835000,10,8,4337,6777,2017,826,33.9679815,-118.2408319,3,1,0,9
"36",90001,"9/10/2018","Multi-Family (2-4 Unit)","1771 E 83rd St","Los Angeles","CA",90001,415000,3,2,1448,5850,1925,612,33.9627669,-118.2413098,95,1,0,9
"37",90001,"1/4/2019","Single Family Residential","8219 Crockett Blvd","Los Angeles","CA",90001,459800,3,2,1187,3000,2018,496,33.963847,-118.237259,2,1,0,9
"38",90001,"4/5/2019","Single Family Residential","1137 E 78th St","Los Angeles","CA",90001,424200,2,1,900,4869,1928,405,33.9682131,-118.2551177,92,1,0,9
"39",90001,"3/6/2020","Single Family Residential","1009 E 73rd St","Los Angeles","CA",90001,385000,2,1,884,5400,1951,69,33.9740795,-118.2573543,69,1,0,9
"40",90001,"2/7/2019","Single Family Residential","1009 E 80th St","Los Angeles","CA",90001,388800,2,1,864,5995,1926,462,33.966707,-118.2573447,94,1,0,9
"41",90001,"12/13/2018","Multi-Family (2-4 Unit)","1231 E 65th St","County - Los Angeles","CA",90001,439100,3,2,1294,4723,1924,518,33.9809264,-118.2531469,96,1,0,9
"42",90001,"7/7/2017","Single Family Residential","1439 E 77th Pl","Los Angeles","CA",90001,389200,2,1,982,6561,1923,1042,33.9690915,-118.2485736,97,1,0,9
"43",90001,"5/1/2018","Single Family Residential","1561 E 76th St","Los Angeles","CA",90001,410600,3,1,1036,4995,1928,744,33.9718624,-118.2456499,92,1,0,9
"44",90001,"1/10/2018","Single Family Residential","1250 E 74th St","Los Angeles","CA",90001,385500,2,2,856,4946,1926,855,33.9729376,-118.2525938,94,1,0,9
